,code,days
755,815,4476
756,300114,1517
757,2196,2179
758,677,4823
759,2732,483
760,300231,1327
761,600397,3500
762,2221,2125
763,2124,2350
764,600029,3243
765,600861,5476
766,300209,1361
767,300359,696
768,300556,17
769,600483,3041
770,600422,3870
771,2094,2419
772,600850,5516
773,300475,359
774,603918,368
775,661,4829
776,600321,3765
777,600740,4920
778,600988,3069
779,2471,1507
780,600365,3843
781,2161,2255
782,2439,1564
783,600569,3703
784,2534,1430
785,600658,5634
786,600808,5566
787,601028,1230
788,2053,2537
789,2748,416
790,300246,1303
791,622,4858
792,300456,378
793,1,5634
794,300360,696
795,2032,2985
796,300210,1361
797,600369,3847
798,300457,378
799,2433,1567
800,603696,237
801,300374,416
802,600982,3015
803,861,4377
804,300142,1470
805,2176,2222
806,690,4801
807,2614,1265
808,300250,1292
809,600769,4862
810,300481,346
811,600895,4997
812,300159,1431
813,2208,2148
814,600754,4877
815,300164,1427
816,600238,4079
817,2806,83
818,600798,4750
819,2253,2052
820,514,5634
821,300058,1642
822,603806,542
823,600985,3059
824,600597,3459
825,2600,1305
826,2006,3022
827,966,4049
828,601158,1621
829,488,3882
830,300014,1721
831,603729,413
832,600519,3698
833,601908,1266
834,96,3962
835,600587,3437
836,400,4753
837,600986,3061
838,748,4702
839,600977,73
840,601601,2170
841,600801,5569
842,601,4904
843,601168,2283
844,600533,3563
845,300422,433
846,856,4429
847,600919,78
848,300541,48
849,2044,2807
850,600405,3078
851,600518,3808
852,2273,1989
853,2508,1463
854,300169,1419
855,2498,1473
856,600758,4865
857,601118,1431
858,600389,3846
859,603318,391
860,2426,1572
861,2153,2261
862,600072,4723
863,600353,3405
864,601010,1334
865,300052,1648
866,2375,1625
867,300003,1721
868,601798,1322
869,600683,5619
870,2310,1701
871,600266,4308
872,2820,7
873,600601,5634
874,729,4694
875,2574,1363
876,300051,1648
877,2151,2261
878,672,4829
879,2812,47
880,581,4399
881,836,4641
882,2798,125
883,2131,2332
884,2397,1599
885,603169,524
886,2120,2370
887,600200,4280
888,603703,392
889,600685,5616
890,2800,122
891,2713,680
892,600068,4729
893,2359,1649
894,59,4799
895,300521,98
896,831,4408
897,600234,3989
898,600393,3808
899,300190,1388
900,601336,1201
901,2233,2077
902,600230,4034
903,2034,2978
904,600279,3957
905,573,5415
906,2255,2050
907,600368,3859
908,623,4866
909,600821,5550
910,600843,5525
911,2465,1515
912,2182,2200
913,2612,1273
914,600990,3056
915,2265,2020
916,603799,446
917,300022,1721
918,876,4539
919,905,4260
920,949,4141
921,600531,3480
922,603900,4
923,620,4865
924,600689,5609
925,868,4687
926,300562,9
927,2797,135
928,600371,3446
929,603555,693
930,600189,4392
931,300151,1442
932,601179,1658
933,600637,5634
934,300095,1539
935,2789,176
936,300133,1483
937,156,3930
938,600579,3472
939,600602,5634
940,2599,1305
941,2722,691
942,2055,2517
943,2676,1098
944,603999,236
945,300099,1532
946,300286,1183
947,2069,2470
948,300229,1327
949,300296,1144
950,601139,1681
951,2181,2197
952,567,5473
953,2113,2383
954,603313,33
955,600272,3821
956,2414,1547
957,600146,4212
958,2355,1650
959,300034,1681
960,686,4789
961,2592,1226
962,2009,3020
963,2554,1401
964,2448,1547
965,601199,1387
966,652,4843
967,733,4703
968,600482,3009
969,600885,5042
970,600873,5289
971,2173,2230
972,603508,226
973,300559,20
974,603686,449
975,600222,4130
976,300221,1341
977,300145,1451
978,39,5505
979,300084,1585
980,2424,1575
981,407,4946
982,2666,1136
983,63,4608
984,603777,34
985,600962,3025
986,600734,4920
987,2033,2979
988,603308,695
989,790,4527
990,2605,1290
991,300189,1388
992,600869,5298
993,2231,2081
994,600376,3813
995,2507,1463
996,2483,1497
997,2019,3010
998,2193,2182
999,2052,2537
1000,300004,1721
1001,300498,264
1002,541,5598
1003,536,5595
1004,603888,22
1005,2372,1628
1006,300455,377
1007,2719,691
1008,600750,4888
1009,565,5505
1010,300100,1532
1011,600066,4741
1012,300066,1622
1013,890,4319
1014,600756,4888
1015,28,5634
1016,2650,1188
1017,600128,4661
1018,2219,2125
1019,600243,3882
1020,975,3994
1021,2493,1478
1022,300131,1488
1023,2524,1445
1024,2025,3001
1025,758,4755
1026,300181,1404
1027,300070,1605
1028,601186,2123
1029,600833,5536
1030,300062,1627
1031,600291,3957
1032,601678,1645
1033,300083,1585
1034,885,4289
1035,2286,1760
1036,603018,522
1037,600794,4784
1038,19,5634
1039,300021,1721
1040,603309,429
1041,600033,3834
1042,933,4173
1043,603589,347
1044,603012,415
1045,300348,1039
1046,600889,5028
1047,600546,3239
1048,603528,141
1049,600086,4720
1050,2743,433
1051,2391,1608
1052,600593,3493
1053,673,4803
1054,603919,177
1055,922,4225
1056,600645,5634
1057,600822,5545
1058,2536,1429
1059,300201,1374
1060,700,4788
1061,935,4178
1062,601229,9
1063,600697,5589
1064,300531,73
1065,537,5585
1066,600327,3505
1067,300020,1721
1068,600575,3321
1069,2434,1567
1070,600363,3800
1071,600387,3109
1072,300439,393
1073,601116,1398
1074,600960,3074
1075,600130,3974
1076,300430,416
1077,600188,4460
1078,601811,74
1079,600099,4702
1080,600435,3258
1081,600726,4948
1082,600992,3052
1083,570,5446
1084,300238,1312
1085,2403,1592
1086,2485,1490
1087,600084,4697
1088,889,4586
1089,2661,1143
1090,600792,4804
1091,2008,3022
1092,2292,1751
1093,600860,5486
1094,300424,393
1095,600316,3863
1096,600796,4761
1097,603609,562
1098,2060,2505
1099,525,5616
1100,625,4718
1101,600614,5634
1102,600083,4720
1103,600320,3859
1104,300015,1721
1105,600110,4638
1106,600399,3853
1107,300378,692
