,open,high,low,close
88,9.521999999999995,9.582000000000004,9.477500000000003,9.547
89,9.602999999999996,9.661500000000006,9.556500000000002,9.626500000000002
90,9.684999999999995,9.744000000000003,9.638000000000002,9.708500000000003
91,9.767499999999995,9.825500000000003,9.7195,9.789000000000003
92,9.847999999999995,9.904500000000004,9.803,9.872000000000003
93,9.927999999999997,9.983500000000005,9.881,9.949500000000004
94,10.014499999999998,10.064000000000005,9.9645,10.027000000000005
95,10.095999999999998,10.148000000000007,10.044999999999998,10.111500000000003
96,10.179999999999998,10.234000000000005,10.129499999999998,10.194000000000004
97,10.265999999999998,10.319500000000005,10.210999999999999,10.280000000000005
98,10.355499999999997,10.408000000000005,10.296499999999998,10.366500000000006
99,10.354999999999997,10.402000000000006,10.293,10.362500000000006
